"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina";"ASRINF0_";709192,851560003;422,416513978844;98,570063927363;28401,4795468319;5,44785818696653;2,69439412010576;3300;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"2";"Argentina";"ASRIIE0_";709192,851560003;412,563805456767;106,000538509785;28401,4795468319;6,28269700362999;2,7240017658013;3300;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"3";"Belize";"ASRINF0_";7408,22494200005;332,175065546262;108,913535094498;356,871631195925;4,94744035926689;2,54684017528714;2909;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"4";"Belize";"ASRIIE0_";7408,22494200005;328,671004038135;105,434121589492;356,871631195925;4,68023958367017;2,57257193680828;2909;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"5";"Bulgaria";"ASRINF0_";95701,8722800007;551,309708577039;81,0154344462128;1843,96911756981;3,57317136677377;2,88254626878653;3460;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"6";"Bulgaria";"ASRIIE0_";95701,8722800007;550,431909350141;77,5778279307352;1843,96911756981;3,5684604809953;2,35794212149622;3460;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"7";"Canada (Ontario)";"ASRINF0_";141274,909928001;541,506129827203;74,9633375602422;4907,33150202997;3,18350681017786;1,18288603804224;4295;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"8";"Canada (Ontario)";"ASRIIE0_";141274,909928001;553,79625248618;71,6702405585881;4907,33150202997;2,93540966753128;1,76807405890076;4295;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"9";"Canada (Quebec)";"ASRINF0_";80736,8329410009;540,662322599338;64,469130317001;2667,30107145721;2,88007266622282;1,24398901482585;3958;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"10";"Canada (Quebec)";"ASRIIE0_";80736,8329410009;540,786830059243;61,7665523611879;2667,30107145721;2,88234716032361;1,21337010323662;3958;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"11";"Colombia";"ASRINF0_";975169,809916011;423,62925508303;83,1522079477319;50539,3631168736;4,28261339830675;2,95863538416642;5131;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"12";"Colombia";"ASRIIE0_";975169,809916011;416,67190840051;85,3299224978152;50539,3631168736;4,74315535997955;3,17710792611892;5131;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"13";"Cyprus";"ASRINF0_";10206,0967100001;489,898164552745;83,0034546808257;179,288278307526;2,97044675122067;1,77847710332966;3001;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"14";"Cyprus";"ASRIIE0_";10206,0967100001;495,393027960516;78,8610743368415;179,288278307526;2,82690511620975;1,51732480871235;3001;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
"15";"Czech Republic";"ASRINF0_";123831,146649001;536,399224664052;68,3538525152207;2583,42192119757;2,67983590589996;1,50540421544727;3022;" ASRINF0_ ASRIIE0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h45m";75;5;"NONE"
