"";"IDCNTRY";"ASBGSEX";"xvar";"n";"TOTWGT";"sumw_se";"tsumw";"tsumw_se";"pct";"pct_se";"tpct";"tpct_se";"mnx";"mnx_se";"sdx";"sdx_se";"vrx";"vrx_se";"DEff";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"date";"time";"selcrit"
"1";"Australia";"GIRL";"ASDMSCL";2145;126286,378269388;4522,3936188928;127989,513819372;4587,87763265803;50,7440682492292;1,11283334547613;50,4878611890545;1,0760115344835;1,50691528417083;0,0210052450090202;0,688647249111045;0,0149311826970726;0,474235033708209;0,0205820505191331;1,99567200776262;1,33068366240286;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"2";"Australia";"BOY";"ASDMSCL";2054;122582,864238196;4976,6973929408;125516,003754661;5235,7887134664;49,2559317507708;1,11283334547612;49,5121388109455;1,0760115344835;1,42105407723721;0,0187433204009184;0,663331023368141;0,0160452104835749;0,440008046562625;0,0212759901699511;1,63995857839715;2,3368649644055;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"3";"Armenia";"GIRL";"ASDMSCL";1925;17005,4356206976;607,107540664097;24688,3944123071;792,729407914141;49,4933311442958;0,952906476971966;49,0412448713211;0,776469845918075;1,69105068197569;0,0188027592888073;0,678903022166719;0,0121288341732856;0,460909313507105;0,0164862636559239;1,47658489866837;31,1197182907118;74;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"4";"Armenia";"BOY";"ASDMSCL";1923;17353,6087748371;689,550289448335;25653,7094170039;903,589970701533;50,5066688557042;0,952906476971944;50,9587551286789;0,77646984591807;1,69201397651513;0,0210911099788675;0,68277927456814;0,0105537097895433;0,466187537779796;0,0144026661125148;1,83492153287588;32,3543878479643;74;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"5";"Chinese Taipei";"GIRL";"ASDMSCL";2225;149278,033623039;2550,24354036068;149969,643446919;2486,73519742743;48,2231910085531;0,529349211307558;48,1719069036536;0,521861322459842;1,89364559976527;0,0180173625525347;0,746675242547744;0,00892415513755301;0,557523917833733;0,0133304811747087;1,29553439430736;0,461166545430979;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"6";"Chinese Taipei";"BOY";"ASDMSCL";2407;160278,48991055;2909,5422024075;161352,147793079;2890,67862986044;51,7768089914469;0,529349211307575;51,8280930963464;0,521861322459851;1,6938870408928;0,0165791350571908;0,74077416133386;0,00819410430242058;0,548746358099883;0,01213834132988;1,20566923216147;0,665412823575542;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"7";"Cyprus";"GIRL";"ASDMSCL";2092;4797,13501076763;136,66658586753;4880,0736488913;137,429722132148;49,3558883456931;0,752723513565419;49,1009866184752;0,720761354245311;1,36487717731938;0,014914046465837;0,589992882368105;0,01140484771689;0,348091601245025;0,0134449142024658;1,3367774753789;1,69953660725015;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"8";"Cyprus";"BOY";"ASDMSCL";2140;4922,34359970346;112,572022083252;5058,77684063243;105,48312824592;50,644111654307;0,75272351356544;50,8990133815248;0,720761354245306;1,31738126024963;0,0139480645333246;0,551272453037599;0,0116417015305255;0,303901317478091;0,0128243399450816;1,36996378461965;2,69696104863023;75;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"9";"Hong Kong, SAR";"GIRL";"ASDMSCL";2219;37111,8912919679;1286,67325594634;37138,5795306042;1282,87670896543;47,2186048733411;1,11943822135753;47,0821069386072;1,11624769606209;1,93324028646103;0,0223247648142276;0,738057449753051;0,00897877556733464;0,544728799135977;0,0132454636625615;2,03025575650425;0,071861226179561;66;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
"10";"Hong Kong, SAR";"BOY";"ASDMSCL";2363;41484,016807216;1561,03196732104;41741,8740969939;1560,9121606526;52,781395126659;1,11943822135753;52,9178930613928;1,11624769606207;1,66121127453014;0,0189426122969735;0,708096602384606;0,00850106323592486;0,501400798308623;0,0120390881506102;1,69105775985412;0,617742483671812;64;"TOTWGT";75;"JRR";"HALF";"04-MAR-26";"12h58m";"NONE"
